chunk	position	next	reference_nll	candidate_nll	kl	same_top
1	321	1316	1.69499	1.64925	0.00537893	1
1	322	621	0.000823038	0.000961741	2.48405e-05	1
1	323	912	0.00422249	0.00455099	2.912e-05	1
1	324	365	3.36146	3.35747	0.000545712	1
1	325	1209	6.41976	6.34623	0.00556407	1
1	326	551	7.66568	7.51715	0.0056045	1
1	327	21321	2.84441	2.77547	0.0048068	1
1	328	271	2.9199	2.79107	0.00198603	1
1	329	515	0.00460855	0.00743591	0.000725896	1
1	330	429	2.68751	2.61017	0.00370485	1
1	331	650	1.73672	1.8166	0.00486383	1
1	332	2851	5.55608	5.52587	0.00395105	1
1	333	347	2.40306	2.32094	0.000955945	1
1	334	6971	7.80359	7.83285	0.0042728	1
1	335	37291	0.0609278	0.0556594	0.000693631	1
1	336	442	5.66729	5.7555	0.0117422	1
1	337	33606	4.26322	4.50278	0.0160824	1
1	338	637	5.74539	5.74726	0.00230897	1
1	339	99	0.415839	0.445227	0.00256234	1
1	340	24630	8.2206	8.12781	0.00528307	1
1	341	2481	0.871411	0.889541	0.00115224	1
1	342	3297	2.55823	2.58284	0.00174866	1
1	343	6356	6.10317	6.18487	0.00312938	1
1	344	389	4.57814	4.69121	0.00366841	1
1	345	9226	8.71187	8.67167	0.00830796	1
1	346	352	0.0168926	0.0108032	0.00165875	1
1	347	3297	2.58494	2.58102	0.00283431	1
1	348	1541	5.21467	5.11645	0.0023393	1
1	349	1674	0.0240957	0.0231288	0.000195048	1
1	350	1777	0.109516	0.128554	0.00174664	1
1	351	15540	0.00238142	0.00206282	4.59116e-05	1
1	352	284	1.13466	1.04897	0.00346649	0
1	353	31426	3.4728	3.47222	0.0055522	0
1	354	14969	0.0452648	0.0621096	0.00267773	1
1	355	375	0.00278164	0.00344781	8.08546e-05	1
1	356	1673	0.952322	0.914345	0.00309399	1
1	357	476	0.85488	0.865106	0.00180552	1
1	358	378	1.99931	2.02907	0.00210204	1
1	359	22316	8.05411	8.27471	0.00615807	1
1	360	5332	4.81584	4.78238	0.00425422	1
1	361	3297	3.92739	4.09059	0.00228152	1
1	362	476	0.21274	0.213084	0.0018975	1
1	363	5465	5.1837	5.05844	0.00255131	1
1	364	1316	0.8047	0.772587	0.00304818	1
1	365	621	0.000478625	0.000421001	5.51696e-06	1
1	366	912	0.00214901	0.00268143	8.14171e-05	1
1	367	284	3.32285	3.21768	0.00384816	1
1	368	6356	2.60042	2.43866	0.00304784	1
1	369	389	0.0404708	0.0539289	0.00202306	1
1	370	9226	0.000726137	0.000728166	7.94408e-06	1
1	371	352	0.000425117	0.000305363	3.18947e-05	1
1	372	2626	6.23109	6.20154	0.00250236	1
1	373	30190	11.344	11.3726	0.00312025	1
1	374	7523	8.35831	8.49775	0.00618693	1
1	375	260	1.88994	1.87367	0.00411121	1
1	376	4655	8.12897	8.16253	0.00455799	1
1	377	454	0.0491487	0.0646166	0.00209913	1
1	378	1467	0.0062219	0.00678679	6.27191e-05	1
1	379	1673	1.9878	2.08201	0.00461473	1
